Moisture Chart,0,10,20,30,40,50,60,70,80,90,100,AVERAGE
0,19,7,15,21,36,20,23,20,25,22,23,21.0
10,31,23,26,16,29,23,18,25,26,19,16,22.9
20,33,28,47,7,19,34,41,31,30,34,29,30.3
30,35,25,38,40,28,26,6,29,31,37,22,28.8
40,24,37,58,15,21,33,20,28,28,32,26,29.3
50,41,17,23,15,31,18,40,13,20,20,29,24.3
AVERAGE,30.5,22.8,34.5,19.0,27.3,25.7,24.7,24.3,26.7,27.3,24.2,26.09
,,,,,,,,,,,,
,,,,,,,,Y AXIS,Avg Moisture (%),,,
For graphing,,,,,,,,0,21.0,,,
Coordinate,Moisture (%),,,,,,,10,22.9,,,
"(0,0)",19,,,,,,,20,30.3,,,
"(10,0)",7,,,,,,,30,28.8,,,
"(20,0)",15,,,,,,,40,29.3,,,
"(30,0)",21,,,,,,,50,24.3,,,
"(40,0)",36,,,,,,,,,,,
"(50,0)",20,,,,,,,X AXIS,Avg Moisture (%),,,
"(60,0)",23,,,,,,,0,30.5,,,
"(70,0)",20,,,,,,,10,22.8,,,
"(80,0)",25,,,,,,,20,34.5,,,
"(90,0)",22,,,,,,,30,19,,,
"(100,0)",23,,,,,,,40,27.3,,,
,,,,,,,,50,25.7,,,
Coordinate,Moisture (%),,,,,,,60,24.7,,,
"(0,10)",31,,,,,,,70,24.3,,,
"(10,10)",23,,,,,,,80,26.7,,,
"(20,10)",26,,,,,,,90,27.3,,,
"(30,10)",16,,,,,,,100,24.2,,,
"(40,10)",29,,,,,,,,,,,
"(50,10)",23,,,,,,,,,,,
"(60,10)",18,,,,,,,,,,,
"(70,10)",25,,,,,,,,,,,
"(80,10)",26,,,,,,,,,,,
"(90,10)",19,,,,,,,,,,,
"(100,10)",16,,,,,,,,,,,
,,,,,,,,,,,,
Coordinate,Moisture (%),,,,,,,,,,,
"(0,20)",33,,,,,,,,,,,
"(10,20)",28,,,,,,,,,,,
"(20,20)",47,,,,,,,,,,,
"(30,20)",7,,,,,,,,,,,
"(40,20)",19,,,,,,,,,,,
"(50,20)",34,,,,,,,,,,,
"(60,20)",41,,,,,,,,,,,
"(70,20)",31,,,,,,,,,,,
"(80,20)",30,,,,,,,,,,,
"(90,20)",34,,,,,,,,,,,
"(100,20)",29,,,,,,,,,,,
,,,,,,,,,,,,
Coordinate,Moisture (%),,,,,,,,,,,
"(0,30)",35,,,,,,,,,,,
"(10,30)",25,,,,,,,,,,,
"(20,30)",38,,,,,,,,,,,
"(30,30)",40,,,,,,,,,,,
"(40,30)",28,,,,,,,,,,,
"(50,30)",26,,,,,,,,,,,
"(60,30)",6,,,,,,,,,,,
"(70,30)",29,,,,,,,,,,,
"(80,30)",31,,,,,,,,,,,
"(90,30)",37,,,,,,,,,,,
"(100,30)",22,,,,,,,,,,,
,,,,,,,,,,,,
Coordinate,Moisture (%),,,,,,,,,,,
"(0,40)",24,,,,,,,,,,,
"(10,40)",37,,,,,,,,,,,
"(20,40)",58,,,,,,,,,,,
"(30,40)",15,,,,,,,,,,,
"(40,40)",21,,,,,,,,,,,
"(50,40)",33,,,,,,,,,,,
"(60,40)",20,,,,,,,,,,,
"(70,40)",28,,,,,,,,,,,
"(80,40)",28,,,,,,,,,,,
"(90,40)",32,,,,,,,,,,,
"(100,40)",26,,,,,,,,,,,
,,,,,,,,,,,,
Coordinate,Moisture (%),,,,,,,,,,,
"(0,50)",41,,,,,,,,,,,
"(10,50)",17,,,,,,,,,,,
"(20,50)",23,,,,,,,,,,,
"(30,50)",15,,,,,,,,,,,
"(40,50)",31,,,,,,,,,,,
"(50,50)",18,,,,,,,,,,,
"(60,50)",40,,,,,,,,,,,
"(70,50)",13,,,,,,,,,,,
"(80,50)",20,,,,,,,,,,,
"(90,50)",20,,,,,,,,,,,
"(100,50)",29,,,,,,,,,,,
